age;job;marital;education;latitude;longitude;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
49;blue-collar;married;unknown;35.418858;-101.69758;no;154;yes;no;unknown;5;may;357;1;-1;0;unknown;no
51;management;married;tertiary;35.418858;-101.69758;no;6530;yes;no;unknown;5;may;91;1;-1;0;unknown;no
60;retired;married;tertiary;35.418858;-101.69758;no;100;no;no;unknown;5;may;528;1;-1;0;unknown;no
59;management;divorced;tertiary;35.418858;-101.69758;no;59;yes;no;unknown;5;may;273;1;-1;0;unknown;no
55;technician;married;secondary;35.418858;-101.69758;no;1205;yes;no;unknown;5;may;158;2;-1;0;unknown;no
35;blue-collar;single;secondary;35.418858;-101.69758;no;12223;yes;yes;unknown;5;may;177;1;-1;0;unknown;no
57;blue-collar;married;secondary;35.418858;-101.69758;no;5935;yes;yes;unknown;5;may;258;1;-1;0;unknown;no
31;services;married;secondary;35.418858;-101.69758;no;25;yes;yes;unknown;5;may;172;1;-1;0;unknown;no
54;management;married;secondary;35.418858;-101.69758;no;282;yes;yes;unknown;5;may;154;1;-1;0;unknown;no
55;blue-collar;married;primary;35.418858;-101.69758;no;23;yes;no;unknown;5;may;291;1;-1;0;unknown;no
43;technician;married;secondary;35.418858;-101.69758;no;1937;yes;no;unknown;5;may;181;1;-1;0;unknown;no
53;technician;married;secondary;35.418858;-101.69758;no;384;yes;no;unknown;5;may;176;1;-1;0;unknown;no
44;blue-collar;married;secondary;35.418858;-101.69758;no;582;no;yes;unknown;5;may;211;1;-1;0;unknown;no
55;services;divorced;secondary;35.418858;-101.69758;no;91;no;no;unknown;5;may;349;1;-1;0;unknown;no
49;services;divorced;secondary;35.418858;-101.69758;no;0;yes;yes;unknown;5;may;272;1;-1;0;unknown;no
55;services;divorced;secondary;35.418858;-101.69758;yes;1;yes;no;unknown;5;may;208;1;-1;0;unknown;no
45;admin.;single;secondary;35.418858;-101.69758;no;206;yes;no;unknown;5;may;193;1;-1;0;unknown;no
47;services;divorced;secondary;35.418858;-101.69758;no;164;no;no;unknown;5;may;212;1;-1;0;unknown;no
42;technician;single;secondary;35.418858;-101.69758;no;690;yes;no;unknown;5;may;20;1;-1;0;unknown;no
59;admin.;married;secondary;35.418858;-101.69758;no;2343;yes;no;unknown;5;may;1042;1;-1;0;unknown;yes
46;self-employed;married;tertiary;35.418858;-101.69758;no;137;yes;yes;unknown;5;may;246;1;-1;0;unknown;no
51;blue-collar;married;primary;35.418858;-101.69758;no;173;yes;no;unknown;5;may;529;2;-1;0;unknown;no
56;admin.;married;secondary;35.418858;-101.69758;no;45;no;no;unknown;5;may;1467;1;-1;0;unknown;yes
41;technician;married;secondary;35.418858;-101.69758;no;1270;yes;no;unknown;5;may;1389;1;-1;0;unknown;yes
46;management;divorced;secondary;35.418858;-101.69758;no;16;yes;yes;unknown;5;may;188;2;-1;0;unknown;no
57;retired;married;secondary;35.418858;-101.69758;no;486;yes;no;unknown;5;may;180;2;-1;0;unknown;no
42;management;single;secondary;35.418858;-101.69758;no;50;no;no;unknown;5;may;48;1;-1;0;unknown;no
30;technician;married;secondary;35.418858;-101.69758;no;152;yes;yes;unknown;5;may;213;2;-1;0;unknown;no
60;admin.;married;secondary;35.418858;-101.69758;no;290;yes;no;unknown;5;may;583;1;-1;0;unknown;no
60;blue-collar;married;unknown;33.85117;-117.737976;no;54;yes;no;unknown;5;may;221;1;-1;0;unknown;no
57;entrepreneur;divorced;secondary;33.85117;-117.737976;no;-37;no;no;unknown;5;may;173;1;-1;0;unknown;no
36;management;married;tertiary;33.85117;-117.737976;no;101;yes;yes;unknown;5;may;426;1;-1;0;unknown;no
55;blue-collar;married;secondary;33.85117;-117.737976;no;383;no;no;unknown;5;may;287;1;-1;0;unknown;no
60;retired;married;tertiary;33.85117;-117.737976;no;81;yes;no;unknown;5;may;101;1;-1;0;unknown;no
39;technician;married;secondary;33.85117;-117.737976;no;0;yes;no;unknown;5;may;203;1;-1;0;unknown;no
46;management;married;tertiary;33.85117;-117.737976;no;229;yes;no;unknown;5;may;197;1;-1;0;unknown;no
44;blue-collar;married;secondary;33.85117;-117.737976;no;-674;yes;no;unknown;5;may;257;1;-1;0;unknown;no
53;blue-collar;married;primary;33.85117;-117.737976;no;90;no;no;unknown;5;may;124;1;-1;0;unknown;no
52;blue-collar;married;primary;33.85117;-117.737976;no;128;yes;no;unknown;5;may;229;1;-1;0;unknown;no
59;blue-collar;married;primary;33.85117;-117.737976;no;179;yes;no;unknown;5;may;55;3;-1;0;unknown;no
27;technician;single;tertiary;33.85117;-117.737976;no;0;yes;no;unknown;5;may;400;1;-1;0;unknown;no
44;blue-collar;married;secondary;33.85117;-117.737976;no;54;yes;no;unknown;5;may;197;1;-1;0;unknown;no
47;technician;married;tertiary;33.85117;-117.737976;no;151;yes;no;unknown;5;may;190;1;-1;0;unknown;no
34;admin.;married;secondary;33.85117;-117.737976;no;61;no;yes;unknown;5;may;21;1;-1;0;unknown;no
59;retired;single;secondary;33.85117;-117.737976;no;30;yes;no;unknown;5;may;514;1;-1;0;unknown;no
45;management;married;tertiary;33.85117;-117.737976;no;523;yes;no;unknown;5;may;849;2;-1;0;unknown;no
29;services;divorced;secondary;33.85117;-117.737976;no;31;yes;no;unknown;5;may;194;1;-1;0;unknown;no
46;technician;divorced;secondary;33.85117;-117.737976;no;79;no;no;unknown;5;may;144;1;-1;0;unknown;no
56;self-employed;married;primary;33.85117;-117.737976;no;-34;yes;yes;unknown;5;may;212;2;-1;0;unknown;no
36;blue-collar;married;primary;33.85117;-117.737976;no;448;yes;no;unknown;5;may;286;1;-1;0;unknown;no
59;retired;divorced;primary;33.85117;-117.737976;no;81;yes;no;unknown;5;may;107;1;-1;0;unknown;no
44;blue-collar;married;secondary;33.85117;-117.737976;no;144;yes;no;unknown;5;may;247;2;-1;0;unknown;no
41;admin.;married;secondary;33.85117;-117.737976;no;351;yes;no;unknown;5;may;518;1;-1;0;unknown;no
33;management;single;tertiary;33.85117;-117.737976;no;-67;yes;no;unknown;5;may;364;1;-1;0;unknown;no
59;management;divorced;tertiary;33.85117;-117.737976;no;262;no;no;unknown;5;may;178;1;-1;0;unknown;no
57;technician;married;primary;33.85117;-117.737976;no;0;no;no;unknown;5;may;98;1;-1;0;unknown;no
56;technician;divorced;unknown;33.85117;-117.737976;no;56;yes;no;unknown;5;may;439;1;-1;0;unknown;no
51;blue-collar;married;secondary;33.85117;-117.737976;no;26;yes;no;unknown;5;may;79;1;-1;0;unknown;no
34;admin.;married;unknown;33.85117;-117.737976;no;3;yes;no;unknown;5;may;120;3;-1;0;unknown;no
43;services;married;secondary;33.85117;-117.737976;no;41;yes;yes;unknown;5;may;127;2;-1;0;unknown;no
52;technician;married;tertiary;33.85117;-117.737976;no;7;no;yes;unknown;5;may;175;1;-1;0;unknown;no
33;technician;single;secondary;33.85117;-117.737976;no;105;yes;no;unknown;5;may;262;2;-1;0;unknown;no
29;admin.;single;secondary;33.85117;-117.737976;no;818;yes;yes;unknown;5;may;61;1;-1;0;unknown;no
34;services;married;secondary;33.85117;-117.737976;no;-16;yes;yes;unknown;5;may;78;1;-1;0;unknown;no
31;blue-collar;married;secondary;33.85117;-117.737976;no;0;yes;no;unknown;5;may;143;1;-1;0;unknown;no
55;services;married;secondary;32.304585;-102.63784;no;2476;yes;no;unknown;5;may;579;1;-1;0;unknown;yes
55;management;married;unknown;37.448147;-89.17149;no;1185;no;no;unknown;5;may;677;1;-1;0;unknown;no
32;admin.;single;secondary;37.448147;-89.17149;no;217;yes;no;unknown;5;may;345;1;-1;0;unknown;no
38;technician;single;secondary;37.98982;-121.78517;no;1685;yes;no;unknown;5;may;185;1;-1;0;unknown;no
55;admin.;single;secondary;37.98982;-121.78517;no;802;yes;yes;unknown;5;may;100;2;-1;0;unknown;no
28;unemployed;single;tertiary;37.98982;-121.78517;no;0;yes;no;unknown;5;may;125;2;-1;0;unknown;no
23;blue-collar;married;secondary;37.98982;-121.78517;no;94;yes;no;unknown;5;may;193;1;-1;0;unknown;no
32;technician;single;secondary;37.98982;-121.78517;no;0;yes;no;unknown;5;may;136;1;-1;0;unknown;no
43;services;single;unknown;37.98982;-121.78517;no;0;no;no;unknown;5;may;73;1;-1;0;unknown;no
32;blue-collar;married;secondary;37.98982;-121.78517;no;517;yes;no;unknown;5;may;528;1;-1;0;unknown;no
46;blue-collar;married;secondary;37.98982;-121.78517;no;265;yes;no;unknown;5;may;541;1;-1;0;unknown;no
53;housemaid;divorced;primary;37.98982;-121.78517;no;947;yes;no;unknown;5;may;163;1;-1;0;unknown;no
34;self-employed;single;secondary;37.98982;-121.78517;no;3;yes;no;unknown;5;may;301;1;-1;0;unknown;no
57;unemployed;married;tertiary;37.98982;-121.78517;no;42;no;no;unknown;5;may;46;1;-1;0;unknown;no
37;blue-collar;married;secondary;37.98982;-121.78517;no;37;yes;no;unknown;5;may;204;1;-1;0;unknown;no
59;blue-collar;married;secondary;37.98982;-121.78517;no;57;yes;no;unknown;5;may;98;1;-1;0;unknown;no
33;services;married;secondary;34.602627;-117.119835;no;22;yes;no;unknown;5;may;71;1;-1;0;unknown;no
56;blue-collar;divorced;primary;34.602627;-117.119835;no;8;yes;no;unknown;5;may;157;2;-1;0;unknown;no
48;unemployed;married;secondary;34.602627;-117.119835;no;293;yes;no;unknown;5;may;243;1;-1;0;unknown;no
43;services;married;primary;34.602627;-117.119835;no;3;yes;no;unknown;5;may;186;2;-1;0;unknown;no
54;blue-collar;married;primary;37.006763;-121.87869;no;348;yes;no;unknown;5;may;579;2;-1;0;unknown;no
51;blue-collar;married;unknown;34.1398;-118.03244;no;-19;yes;no;unknown;5;may;163;2;-1;0;unknown;no
26;student;single;secondary;34.1398;-118.03244;no;0;yes;no;unknown;5;may;610;2;-1;0;unknown;no
40;management;married;tertiary;34.1398;-118.03244;no;-4;yes;no;unknown;5;may;2033;1;-1;0;unknown;no
39;management;married;secondary;34.1398;-118.03244;no;18;yes;no;unknown;5;may;85;1;-1;0;unknown;no
50;technician;married;primary;34.1398;-118.03244;no;139;no;no;unknown;5;may;114;2;-1;0;unknown;no
41;services;married;secondary;34.1398;-118.03244;no;0;yes;no;unknown;5;may;114;2;-1;0;unknown;no
51;blue-collar;married;unknown;34.1398;-118.03244;no;1883;yes;no;unknown;5;may;57;1;-1;0;unknown;no
60;retired;divorced;secondary;34.1398;-118.03244;no;216;yes;no;unknown;5;may;238;1;-1;0;unknown;no
52;blue-collar;married;secondary;34.1398;-118.03244;no;782;yes;no;unknown;5;may;93;3;-1;0;unknown;no
48;blue-collar;married;secondary;34.1398;-118.03244;no;904;yes;no;unknown;5;may;128;2;-1;0;unknown;no
48;services;married;unknown;34.1398;-118.03244;no;1705;yes;no;unknown;5;may;107;1;-1;0;unknown;no
39;technician;single;tertiary;34.1398;-118.03244;no;47;yes;no;unknown;5;may;181;1;-1;0;unknown;no
47;services;single;secondary;34.1398;-118.03244;no;176;yes;no;unknown;5;may;303;2;-1;0;unknown;no
40;blue-collar;married;secondary;34.1398;-118.03244;no;1225;yes;no;unknown;5;may;558;5;-1;0;unknown;no
45;technician;married;secondary;34.1398;-118.03244;no;86;yes;no;unknown;5;may;270;1;-1;0;unknown;no
26;admin.;single;secondary;34.1398;-118.03244;no;82;yes;no;unknown;5;may;228;1;-1;0;unknown;no
52;management;married;tertiary;34.1398;-118.03244;no;271;yes;no;unknown;5;may;99;1;-1;0;unknown;no
54;technician;married;secondary;34.1398;-118.03244;no;1378;yes;no;unknown;5;may;240;1;-1;0;unknown;no
54;admin.;married;tertiary;34.1398;-118.03244;no;184;no;no;unknown;5;may;673;2;-1;0;unknown;yes
50;blue-collar;married;primary;34.1398;-118.03244;no;0;no;no;unknown;5;may;233;3;-1;0;unknown;no
35;blue-collar;married;secondary;34.1398;-118.03244;no;0;yes;no;unknown;5;may;1056;1;-1;0;unknown;no
44;services;married;secondary;40.8668;-124.03844;no;1357;yes;yes;unknown;5;may;250;1;-1;0;unknown;no
53;entrepreneur;married;unknown;32.788635;-97.07696;no;19;yes;no;unknown;5;may;252;1;-1;0;unknown;no
35;retired;single;primary;32.788635;-97.07696;no;434;no;no;unknown;5;may;138;1;-1;0;unknown;no
60;admin.;divorced;secondary;32.788635;-97.07696;no;92;yes;no;unknown;5;may;130;1;-1;0;unknown;no
53;admin.;divorced;secondary;32.788635;-97.07696;no;1151;yes;no;unknown;5;may;412;1;-1;0;unknown;no
48;unemployed;married;secondary;32.788635;-97.07696;no;41;yes;no;unknown;5;may;179;2;-1;0;unknown;no
34;technician;married;secondary;32.788635;-97.07696;no;51;yes;no;unknown;5;may;19;2;-1;0;unknown;no
54;services;married;secondary;32.788635;-97.07696;no;214;yes;no;unknown;5;may;458;2;-1;0;unknown;no
51;management;married;secondary;32.788635;-97.07696;no;1161;yes;no;unknown;5;may;717;1;-1;0;unknown;no
31;services;married;tertiary;32.788635;-97.07696;no;37;yes;no;unknown;5;may;313;1;-1;0;unknown;no
35;technician;divorced;secondary;32.788635;-97.07696;no;787;yes;no;unknown;5;may;683;2;-1;0;unknown;no
35;services;married;secondary;32.788635;-97.07696;no;59;yes;no;unknown;5;may;1077;1;-1;0;unknown;no
38;technician;married;secondary;32.788635;-97.07696;no;253;yes;no;unknown;5;may;416;1;-1;0;unknown;no
36;admin.;married;tertiary;32.788635;-97.07696;no;211;yes;no;unknown;5;may;146;2;-1;0;unknown;no
58;retired;married;primary;32.788635;-97.07696;no;235;yes;no;unknown;5;may;167;1;-1;0;unknown;no
40;services;divorced;unknown;32.788635;-97.07696;no;4384;yes;no;unknown;5;may;315;1;-1;0;unknown;no
54;management;married;secondary;32.788635;-97.07696;no;4080;no;no;unknown;5;may;140;1;-1;0;unknown;no
34;blue-collar;single;secondary;32.788635;-97.07696;no;53;yes;yes;unknown;5;may;346;1;-1;0;unknown;no
31;management;single;tertiary;32.788635;-97.07696;no;0;yes;no;unknown;5;may;562;1;-1;0;unknown;no
51;retired;married;secondary;32.788635;-97.07696;no;2127;yes;no;unknown;5;may;172;1;-1;0;unknown;no
33;management;married;tertiary;32.788635;-97.07696;no;377;yes;no;unknown;5;may;217;1;-1;0;unknown;no
55;management;married;tertiary;32.788635;-97.07696;no;73;yes;no;unknown;5;may;142;2;-1;0;unknown;no
42;admin.;married;secondary;32.788635;-97.07696;no;445;yes;no;unknown;5;may;67;1;-1;0;unknown;no
34;blue-collar;married;secondary;32.788635;-97.07696;no;243;yes;no;unknown;5;may;291;1;-1;0;unknown;no
33;blue-collar;single;secondary;32.788635;-97.07696;no;307;yes;no;unknown;5;may;309;2;-1;0;unknown;no
38;services;married;secondary;32.788635;-97.07696;no;155;yes;no;unknown;5;may;248;1;-1;0;unknown;no
50;technician;divorced;tertiary;32.788635;-97.07696;no;173;no;yes;unknown;5;may;98;1;-1;0;unknown;no
43;management;married;tertiary;32.788635;-97.07696;no;400;yes;no;unknown;5;may;256;1;-1;0;unknown;no
61;blue-collar;divorced;primary;32.788635;-97.07696;no;1428;yes;no;unknown;5;may;82;2;-1;0;unknown;no
47;admin.;married;secondary;32.788635;-97.07696;no;219;yes;no;unknown;5;may;577;1;-1;0;unknown;no
48;self-employed;married;tertiary;32.788635;-97.07696;no;7;yes;no;unknown;5;may;286;1;-1;0;unknown;no
44;blue-collar;married;secondary;32.788635;-97.07696;no;575;yes;no;unknown;5;may;477;1;-1;0;unknown;no
35;student;single;unknown;32.788635;-97.07696;no;298;yes;no;unknown;5;may;611;2;-1;0;unknown;no
35;services;married;secondary;32.788635;-97.07696;no;0;yes;no;unknown;5;may;471;1;-1;0;unknown;no
50;services;married;secondary;42.11293;-87.9809;no;5699;yes;no;unknown;5;may;381;2;-1;0;unknown;no
41;management;married;tertiary;42.11293;-87.9809;no;176;yes;yes;unknown;5;may;42;1;-1;0;unknown;no
41;management;married;tertiary;42.11293;-87.9809;no;517;yes;no;unknown;5;may;251;1;-1;0;unknown;no
39;services;single;unknown;42.11293;-87.9809;no;257;yes;no;unknown;5;may;408;1;-1;0;unknown;no
42;retired;married;secondary;42.11293;-87.9809;no;56;yes;no;unknown;5;may;215;1;-1;0;unknown;no
38;blue-collar;married;secondary;42.11293;-87.9809;no;-390;yes;no;unknown;5;may;287;1;-1;0;unknown;no
53;retired;married;secondary;42.11293;-87.9809;no;330;yes;no;unknown;5;may;216;2;-1;0;unknown;no
59;housemaid;divorced;primary;42.11293;-87.9809;no;195;no;no;unknown;5;may;366;2;-1;0;unknown;no
36;services;married;secondary;42.11293;-87.9809;no;301;yes;no;unknown;5;may;210;1;-1;0;unknown;no
54;blue-collar;married;primary;42.11293;-87.9809;no;-41;yes;no;unknown;5;may;288;1;-1;0;unknown;no
40;technician;married;tertiary;42.11293;-87.9809;no;483;yes;no;unknown;5;may;168;1;-1;0;unknown;no
47;unknown;married;unknown;42.11293;-87.9809;no;28;no;no;unknown;5;may;338;2;-1;0;unknown;no
53;unemployed;married;unknown;42.11293;-87.9809;no;13;no;no;unknown;5;may;410;3;-1;0;unknown;no
46;housemaid;married;primary;42.11293;-87.9809;no;965;no;no;unknown;5;may;177;1;-1;0;unknown;no
39;management;married;tertiary;42.11293;-87.9809;no;378;yes;yes;unknown;5;may;127;2;-1;0;unknown;no
40;unemployed;married;secondary;42.11293;-87.9809;no;219;yes;no;unknown;5;may;357;1;-1;0;unknown;no
28;blue-collar;married;primary;42.11293;-87.9809;no;324;yes;no;unknown;5;may;175;1;-1;0;unknown;no
35;entrepreneur;divorced;secondary;42.11293;-87.9809;no;-69;yes;no;unknown;5;may;300;1;-1;0;unknown;no
55;retired;married;secondary;42.11293;-87.9809;no;0;no;yes;unknown;5;may;136;1;-1;0;unknown;no
43;technician;divorced;unknown;42.11293;-87.9809;no;205;yes;no;unknown;5;may;1419;1;-1;0;unknown;no
48;blue-collar;married;primary;42.11293;-87.9809;no;278;yes;no;unknown;5;may;125;2;-1;0;unknown;no
58;management;married;unknown;42.11293;-87.9809;no;1065;yes;no;unknown;5;may;213;3;-1;0;unknown;no
33;management;single;tertiary;42.11293;-87.9809;no;34;yes;no;unknown;5;may;27;1;-1;0;unknown;no
36;blue-collar;married;unknown;42.11293;-87.9809;no;1033;no;no;unknown;5;may;238;2;-1;0;unknown;no
53;services;divorced;secondary;42.11293;-87.9809;no;1467;yes;no;unknown;5;may;124;1;-1;0;unknown;no
47;blue-collar;married;primary;38.370796;-120.161415;no;-12;yes;no;unknown;5;may;18;1;-1;0;unknown;no
31;services;married;secondary;35.156033;-120.36522;no;388;yes;no;unknown;5;may;730;2;-1;0;unknown;no
57;entrepreneur;married;secondary;35.156033;-120.36522;no;294;yes;no;unknown;5;may;746;2;-1;0;unknown;no
53;blue-collar;married;unknown;33.1788;-100.25402;no;1827;no;no;unknown;5;may;121;1;-1;0;unknown;no
55;blue-collar;married;primary;39.302498;-82.07867;no;627;yes;no;unknown;5;may;247;1;-1;0;unknown;no
45;blue-collar;married;primary;39.302498;-82.07867;no;25;yes;no;unknown;5;may;40;1;-1;0;unknown;no
53;admin.;divorced;secondary;39.302498;-82.07867;no;315;yes;no;unknown;5;may;181;2;-1;0;unknown;no
37;blue-collar;married;primary;32.199615;-95.81483;no;0;yes;no;unknown;5;may;79;1;-1;0;unknown;no
44;admin.;divorced;secondary;39.2432;-120.0714;no;66;yes;no;unknown;5;may;206;1;-1;0;unknown;no
49;blue-collar;divorced;primary;39.2432;-120.0714;no;-9;yes;yes;unknown;5;may;389;1;-1;0;unknown;no
46;technician;married;secondary;39.2432;-120.0714;no;349;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
43;entrepreneur;married;unknown;39.2432;-120.0714;no;100;yes;no;unknown;5;may;702;1;-1;0;unknown;no
38;admin.;married;secondary;39.2432;-120.0714;no;0;no;no;unknown;5;may;151;1;-1;0;unknown;no
43;technician;married;secondary;39.2432;-120.0714;no;434;yes;no;unknown;5;may;117;1;-1;0;unknown;no
49;management;married;tertiary;41.8803;-88.0151;no;3237;yes;no;unknown;5;may;232;3;-1;0;unknown;no
42;management;married;unknown;41.8803;-88.0151;no;275;no;no;unknown;5;may;408;2;-1;0;unknown;no
22;blue-collar;single;secondary;41.8803;-88.0151;no;0;yes;no;unknown;5;may;179;2;-1;0;unknown;no
40;management;married;tertiary;41.8803;-88.0151;no;207;yes;no;unknown;5;may;39;1;-1;0;unknown;no
39;blue-collar;married;secondary;41.8803;-88.0151;no;483;yes;no;unknown;5;may;282;1;-1;0;unknown;no
51;services;married;secondary;41.8803;-88.0151;no;2248;yes;no;unknown;5;may;714;2;-1;0;unknown;no
